Date,Temp,Is_HW
10/07/2019,30,1
11/07/2019,30,1
12/07/2019,30,1
23/07/2019,30,1
24/07/2019,30,1
25/07/2019,30,1
30/07/2019,31,1
31/07/2019,31,1
01/08/2019,30,1
12/08/2019,30,1
13/08/2019,31,1
14/08/2019,30,1
15/08/2019,30,1
16/08/2019,32,1
22/08/2019,30,1
23/08/2019,31,1
24/08/2019,30,1
25/08/2019,30,1
26/08/2019,31,1
27/08/2019,30,1
31/08/2019,30,1
01/09/2019,30,1
02/09/2019,30,1
15/05/2020,30,1
16/05/2020,34,1
17/05/2020,35,1
18/05/2020,34,1
19/05/2020,35,1
20/05/2020,35,1
21/05/2020,35,1
25/07/2020,30,1
26/07/2020,31,1
27/07/2020,31,1
28/07/2020,31,1
29/07/2020,32,1
30/07/2020,32,1
31/07/2020,30,1
01/08/2020,30,1
02/08/2020,30,1
03/08/2020,30,1
29/08/2020,31,1
30/08/2020,32,1
31/08/2020,32,1
01/09/2020,30,1
02/09/2020,30,1
03/09/2020,33,1
04/09/2020,35,1
05/09/2020,34,1
06/09/2020,32,1
07/09/2020,32,1
08/09/2020,31,1
09/09/2020,31,1
10/09/2020,32,1
11/09/2020,31,1
12/09/2020,32,1
13/09/2020,30,1
14/09/2020,30,1
15/09/2020,30,1
16/09/2020,31,1
17/09/2020,31,1
18/09/2020,31,1
19/09/2020,32,1
20/09/2020,30,1
28/09/2020,31,1
29/09/2020,31,1
30/09/2020,30,1
07/10/2020,31,1
08/10/2020,33,1
09/10/2020,34,1
