Ind,Date,Temp
67,07/03/2020,30
68,08/03/2020,30
69,09/03/2020,33
136,15/05/2020,30
137,16/05/2020,34
138,17/05/2020,35
139,18/05/2020,34
140,19/05/2020,35
141,20/05/2020,35
142,21/05/2020,35
190,08/07/2020,30
191,09/07/2020,32
192,10/07/2020,31
207,25/07/2020,30
208,26/07/2020,31
209,27/07/2020,31
210,28/07/2020,31
211,29/07/2020,32
212,30/07/2020,32
213,31/07/2020,30
242,29/08/2020,31
243,30/08/2020,32
244,31/08/2020,32
257,13/09/2020,30
258,14/09/2020,30
259,15/09/2020,30
260,16/09/2020,31
261,17/09/2020,31
262,18/09/2020,31
263,19/09/2020,32
264,20/09/2020,30
272,28/09/2020,31
273,29/09/2020,31
274,30/09/2020,30
