Date,Desc
2019-09-29,Rosh_Hashana
2019-09-30,Rosh_Hashana
2019-10-01,Rosh_Hashana
2019-10-08,Yom_Kippur
2019-10-09,Yom_Kippur
2019-10-13,Sukkot
2019-10-14,Sukkot
2019-10-15,Sukkot
2019-10-16,Sukkot
2019-10-17,Sukkot
2019-10-18,Sukkot
2019-10-19,Sukkot
2019-10-20,Sukkot
2019-10-21,Sukkot
2019-10-22,Sukkot
2019-12-23,Hannukah
2019-12-24,Hannukah
2019-12-25,Hannukah
2019-12-26,Hannukah
2019-12-27,Hannukah
2019-12-28,Hannukah
2019-12-29,Hannukah
2019-12-30,Hannukah
2020-02-10,Tu_Bishvat
2020-03-09,Purim
2020-03-10,Purim
2020-03-11,Purim
2020-04-08,Passover
2020-04-09,Passover
2020-04-10,Passover
2020-04-11,Passover
2020-04-12,Passover
2020-04-13,Passover
2020-04-14,Passover
2020-04-15,Passover
2020-04-16,Passover
2020-04-29,IDC
2020-05-12,Lg_Baomer
2020-05-28,Shavuot
2020-05-29,Shavuot
2020-05-30,Shavuot
2020-09-18,Rosh_Hashana
2020-09-19,Rosh_Hashana
2020-09-20,Rosh_Hashana
2020-09-27,Yom_Kippur
2020-09-28,Yom_Kippur
2020-10-02,Sukkot
2020-10-03,Sukkot
2020-10-04,Sukkot
2020-10-05,Sukkot
2020-10-06,Sukkot
2020-10-07,Sukkot
2020-10-08,Sukkot
2020-10-09,Sukkot
2020-10-10,Sukkot
2020-10-11,Sukkot
2020-12-11,Hanukkah
2020-12-12,Hanukkah
2020-12-13,Hanukkah
2020-12-14,Hanukkah
2020-12-15,Hanukkah
2020-12-16,Hanukkah
2020-12-17,Hanukkah
2020-12-18,Hanukkah
2021-02-25,Purim
2021-02-26,Purim
